MARKET_RUN_ID,PRC_SHADOW,XML_DATA_ITEM,INTERVAL_START_GMT,INTERVAL_END_GMT,GROUP
RTD,-6.96999979019165,PRC_SHADOW,2018-12-30T15:30:00-00:00,2018-12-30T15:35:00-00:00,1
RTD,-5.40999984741211,PRC_SHADOW,2018-12-30T15:45:00-00:00,2018-12-30T15:50:00-00:00,1
RTD,-4.35941727587736,PRC_SHADOW,2018-12-30T15:55:00-00:00,2018-12-30T16:00:00-00:00,1
RTD,-3.6203879667198,PRC_SHADOW,2018-12-30T16:15:00-00:00,2018-12-30T16:20:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T16:20:00-00:00,2018-12-30T16:25:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T16:25:00-00:00,2018-12-30T16:30:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T16:35:00-00:00,2018-12-30T16:40:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T16:50:00-00:00,2018-12-30T16:55:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T17:00:00-00:00,2018-12-30T17:05:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T17:15:00-00:00,2018-12-30T17:20:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T17:35:00-00:00,2018-12-30T17:40:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T17:40:00-00:00,2018-12-30T17:45:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T17:45:00-00:00,2018-12-30T17:50:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T17:50:00-00:00,2018-12-30T17:55:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T18:10:00-00:00,2018-12-30T18:15:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T18:15:00-00:00,2018-12-30T18:20:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T18:20:00-00:00,2018-12-30T18:25:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T18:35:00-00:00,2018-12-30T18:40:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T18:40:00-00:00,2018-12-30T18:45:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T19:05:00-00:00,2018-12-30T19:10:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T19:10:00-00:00,2018-12-30T19:15:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T19:30:00-00:00,2018-12-30T19:35:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T19:40:00-00:00,2018-12-30T19:45:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T19:45:00-00:00,2018-12-30T19:50:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T19:55:00-00:00,2018-12-30T20:00:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T20:00:00-00:00,2018-12-30T20:05:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T20:10:00-00:00,2018-12-30T20:15:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T20:40:00-00:00,2018-12-30T20:45:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T20:50:00-00:00,2018-12-30T20:55:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T21:00:00-00:00,2018-12-30T21:05:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T21:10:00-00:00,2018-12-30T21:15:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T21:15:00-00:00,2018-12-30T21:20:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T21:25:00-00:00,2018-12-30T21:30:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T21:30:00-00:00,2018-12-30T21:35:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T21:35:00-00:00,2018-12-30T21:40:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T21:40:00-00:00,2018-12-30T21:45:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T21:45:00-00:00,2018-12-30T21:50:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T21:50:00-00:00,2018-12-30T21:55:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T21:55:00-00:00,2018-12-30T22:00:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T22:05:00-00:00,2018-12-30T22:10:00-00:00,1
RTD,0,PRC_SHADOW,2018-12-30T22:25:00-00:00,2018-12-30T22:30:00-00:00,1
